InorganicFormula分子式,InorganicFormula组分1,InorganicFormula组分2,InorganicFormula组分3,球磨时间（h）,转速（转/分钟）,对应温度（℃）,自主合成,离子电导率ms cm-1
Na3YCl6,NaCl,YCl3,0,4,500,20,0,0.00014
Na2.875Y0.875Zr0.125Cl6,NaCl,YCl3,ZrCl4,4,500,20,0,0.0025
Na2.75Y0.75Zr0.25Cl6,NaCl,YCl3,ZrCl4,4,500,20,0,0.02
Na2.625Y0.625Zr0.375Cl6,NaCl,YCl3,ZrCl4,4,500,20,0,0.04
Na2.5Y0.5Zr0.5Cl6,NaCl,YCl3,ZrCl4,4,500,20,0,0.045
Na2.375Y0.375Zr0.625Cl6,NaCl,YCl3,ZrCl4,4,500,20,0,0.0405
Na2.25Y0.25Zr0.75Cl6,NaCl,YCl3,ZrCl4,4,500,20,0,0.066
Na2.125Y0.125Zr0.875Cl6,NaCl,YCl3,ZrCl4,4,500,20,0,0.035
Na2ZrCl6,NaCl,ZrCl4,0,4,500,20,0,0.026
NaNbCl6,NaCl,NbCl5,0,20,500,25,0,0.002
Na0.75La1.75Cl6,NaCl,LaCl3,0,15,500,25,0,0.00007
Na0.7775La0.89Ta0.11Cl6,NaCl,LaCl3,TaCl5,15,500,25,0,0.00036
Na0.8575La0.57Ta0.43Cl6,NaCl,LaCl3,TaCl5,15,500,25,0,1.8
Na0.91La0.36Ta0.64Cl6,NaCl,LaCl3,TaCl5,15,500,25,0,0.65
Na0.945La0.22Ta0.78Cl6,NaCl,LaCl3,TaCl5,15,500,25,0,0.1
NaTaCl6,NaCl,TaCl5,0,15,500,25,0,0.05
Na0.75Sm1.75Cl6,NaCl,SmCl3,0,15,500,25,0,0.0001
Na0.7775Sm0.89Ta0.11Cl6,NaCl,SmCl3,TaCl5,15,500,25,0,0.0012
Na0.845Sm0.62Ta0.38Cl6,NaCl,SmCl3,TaCl5,15,500,25,0,2.7
Na0.91Sm0.36Ta0.64Cl6,NaCl,SmCl3,TaCl5,15,500,25,0,0.53
Na0.945Sm0.22Ta0.78Cl6,NaCl,SmCl3,TaCl5,15,500,25,0,0.11
Na1.525Sm0.38Hf0.62Cl6,NaCl,SmCl3,HfCl4,15,500,25,0,0.25
Na1.525Sm0.38Zr0.62Cl6,NaCl,SmCl3,ZrCl4,15,500,25,0,0.23
Na1.4625La0.43Hf0.57Cl6,NaCl,LaCl3,HfCl4,15,500,25,0,0.09
Na1.4625La0.43Zr0.57Cl6,NaCl,LaCl3,ZrCl4,15,500,25,0,0.087
Na2HfCl6,NaCl,HfCl4,0,15,500,25,0,0.024
Na2ZrCl6,NaCl,ZrCl4,0,15,500,25,0,0.02
Na0.875Y0.25Zr0.75Cl4.625,NaCl,YCl3,ZrCl4,5,500,23,0,0.23
Na0.750Y0.25Zr0.75Cl4.500,NaCl,YCl3,ZrCl4,5,500,23,0,0.38
Na0.625Y0.25Zr0.75Cl4.375,NaCl,YCl3,ZrCl4,5,500,23,0,0.4
Na0.500Y0.25Zr0.75Cl4.250,NaCl,YCl3,ZrCl4,5,500,23,0,0.34
Na0.375Y0.25Zr0.75Cl4.125,NaCl,YCl3,ZrCl4,5,500,23,0,0.23
Na0.250Y0.25Zr0.75Cl4.000,NaCl,YCl3,ZrCl4,5,500,23,0,0.12
NaLa0.2Ce0.2Zr0.2Al0.2Ta0.2Cl4.6,NaCl,LaCl3,CeCl3,2,500,25,0,0.88
Na2.4Er0.4Zr0.6Cl6,NaCl,ErCl3,ZrCl4,24.75,500,25,0,0.04
Na2ZrCl6,NaCl,ZrCl4,0,36,800,25,1,0.0119
Na1.9Zr0.9Ta0.1Cl6,NaCl,ZrCl4,TaCl5,36,800,25,1,0.129
Na1.8Zr0.8Ta0.2Cl6,NaCl,ZrCl4,TaCl5,36,800,25,1,0.318
Na1.7Zr0.7Ta0.3Cl6,NaCl,ZrCl4,TaCl5,36,800,25,1,0.521
Na1.6Zr0.6Ta0.4Cl6,NaCl,ZrCl4,TaCl5,36,800,25,1,0.944
Na1.4Zr0.4Ta0.6Cl6,NaCl,ZrCl4,TaCl5,36,800,25,1,1.27
Na1.3Zr0.3Ta0.7Cl6,NaCl,ZrCl4,TaCl5,36,800,25,1,1.32
Na1.2Zr0.2Ta0.8Cl6,NaCl,ZrCl4,TaCl5,36,800,25,1,2.39
Na1.1Zr0.1Ta0.9Cl6,NaCl,ZrCl4,TaCl5,36,800,25,1,1.45
NaTaCl6,NaCl,TaCl4,0,36,800,25,1,0.509
NaLaTaCl9,NaCl,LaCl3,TaCl5,16,400,25,0,3.63
Na3YbCl6,NaCl,YbCl3,0,14,500,25,0,0.0000032
Na3Yb0.75Zr0.25Cl6,NaCl,YbCl3,ZrCl4,14,500,25,0,0.0016
