inorganic_formula_1_orbital_LUMO_energy,inorganic_formula_1_element_property_MagpieData mean Number,inorganic_formula_1_element_property_MagpieData range Number,inorganic_formula_1_element_property_MagpieData avg_dev Number,inorganic_formula_1_element_property_MagpieData mean MendeleevNumber,inorganic_formula_1_element_property_MagpieData maximum MendeleevNumber,inorganic_formula_1_element_property_MagpieData avg_dev MendeleevNumber,inorganic_formula_1_element_property_MagpieData avg_dev AtomicWeight,inorganic_formula_1_element_property_MagpieData mean MeltingT,inorganic_formula_1_element_property_MagpieData avg_dev MeltingT,inorganic_formula_1_element_property_MagpieData mean Column,inorganic_formula_1_element_property_MagpieData mean Row,inorganic_formula_1_element_property_MagpieData avg_dev Row,inorganic_formula_1_element_property_MagpieData mean CovalentRadius,inorganic_formula_1_element_property_MagpieData mean Electronegativity,inorganic_formula_1_element_property_MagpieData avg_dev Electronegativity,inorganic_formula_1_element_property_MagpieData mean NsValence,inorganic_formula_1_element_property_MagpieData avg_dev NsValence,inorganic_formula_1_element_property_MagpieData mean NpValence,inorganic_formula_1_element_property_MagpieData avg_dev NpValence,inorganic_formula_1_element_property_MagpieData mean NdValence,inorganic_formula_1_element_property_MagpieData avg_dev NdValence,inorganic_formula_1_element_property_MagpieData mean NValence,inorganic_formula_1_element_property_MagpieData avg_dev NValence,inorganic_formula_1_element_property_MagpieData mean NsUnfilled,inorganic_formula_1_element_property_MagpieData avg_dev NsUnfilled,inorganic_formula_1_element_property_MagpieData mean NpUnfilled,inorganic_formula_1_element_property_MagpieData mean NdUnfilled,inorganic_formula_1_element_property_MagpieData avg_dev NdUnfilled,inorganic_formula_1_element_property_MagpieData mean NfUnfilled,inorganic_formula_1_element_property_MagpieData avg_dev NfUnfilled,inorganic_formula_1_element_property_MagpieData mean GSvolume_pa,inorganic_formula_1_element_property_MagpieData avg_dev GSvolume_pa,inorganic_formula_1_element_property_MagpieData mean GSbandgap,inorganic_formula_1_element_property_MagpieData avg_dev GSbandgap,inorganic_formula_1_element_property_MagpieData mean SpaceGroupNumber,inorganic_formula_1_element_property_MagpieData avg_dev SpaceGroupNumber,inorganic_formula_1_element_fraction_Na,inorganic_formula_1_element_fraction_Cl,inorganic_formula_1_element_fraction_Zr,inorganic_formula_1_element_fraction_Ta,inorganic_formula_2_orbital_HOMO_energy,inorganic_formula_2_orbital_LUMO_energy,inorganic_formula_2_element_property_MagpieData mean Electronegativity,inorganic_formula_2_element_property_MagpieData minimum Electronegativity,inorganic_formula_3_element_fraction_Ta,inorganic_formula_4_element_property_MagpieData mean NUnfilled,inorganic_formula_4_element_property_MagpieData range GSvolume_pa,inorganic_formula_4_element_property_MagpieData avg_dev GSvolume_pa,inorganic_formula_4_element_property_MagpieData mean SpaceGroupNumber,inorganic_formula_4_element_property_MagpieData maximum SpaceGroupNumber,Time（h）,Speed (RPM),temperature(℃),if Autonomous synthesis,Target(ms cm-1)
-0.150727,17.4,28,4.32,58.2,94,42.96,10.36930684,394.121,280.9758,10.8,3.2,0.36,130,2.297,1.0356,1.7,0.42,3,2.4,0.1,0.18,4.8,2.64,0.3,0.42,0.6,0.9,1.62,0,0,26.708,2.6526,1.4958,1.19664,126.5,75,0.3,0.6,0,0,-0.32038,-0.103415,2.045,0.93,0,0,0,0,0,0,4,500,20,0,0.00014
-0.162391,18.22222222,29,4.839506173,68,94,34.66666667,11.63196201,433.26,376.6088889,12,3.222222222,0.395061728,124.3333333,2.461111111,0.931851852,1.777777778,0.345679012,3.333333333,2.222222222,0.222222222,0.395061728,5.333333333,2.222222222,0.222222222,0.345679012,0.666666667,0.888888889,1.580246914,0,0,25.40740741,1.704855967,1.662,1.108,115.1111111,68.14814815,0.222222222,0.666666667,0.111111111,0,-0.32038,-0.103415,2.045,0.93,0,0,0,0,0,0,4,500,20,0,0.026
-0.144272,19.25,30,5.4375,76.625,94,26.0625,12.95740283,518.80875,557.7978125,13.5,3.25,0.4375,117.75,2.68625,0.710625,1.75,0.375,3.75,1.875,0.5,0.875,6,1.5,0.25,0.375,0.75,0.75,1.3125,0,0,24.30104167,1.530260417,1.86975,0.934875,105.25,61.875,0.125,0.75,0,0,-0.32038,-0.103415,2.045,0.93,0,0,0,0,0,0,20,500,25,0,0.002
-0.141085,24.70588235,46,13.29757785,69.20588235,94,35.00346021,34.28070013,399.4708824,326.7472837,12.70588235,3.617647059,0.980968858,129.2647059,2.539117647,0.876539792,1.911764706,0.160899654,3.529411765,2.076124567,0.205882353,0.326989619,5.647058824,1.910034602,0.088235294,0.160899654,0.705882353,1.852941176,2.942906574,0,0,27.46919118,4.19532872,1.759764706,1.035155709,105.3235294,58.33910035,0.088235294,0.705882353,0,0,-0.32038,-0.103415,2.045,0.93,0,0,0,0,0,0,15,500,25,0,0.00007
-0.182464,23.25,62,12.4375,76.75,94,25.875,32.21648096,586.30875,675.9228125,13.5,3.375,0.65625,118.5,2.67375,0.729375,1.875,0.21875,3.75,1.875,0.375,0.65625,7.75,2.8125,0.125,0.21875,0.75,0.875,1.53125,0,0,24.29354167,1.543385417,1.86975,0.934875,105.25,61.875,0.125,0.75,0,0.125,-0.32038,-0.103415,2.045,0.93,0.166666667,0,0,0,0,0,15,500,25,0,0.05
-0.21776,25.73529412,51,14.93252595,71.26470588,94,32.09688581,38.02621253,430.765,376.4497059,12.70588235,3.617647059,0.980968858,127.4117647,2.553529412,0.856193772,1.911764706,0.160899654,3.529411765,2.076124567,0,0,6.676470588,1.001730104,0.088235294,0.160899654,0.705882353,0,0,1.647058824,2.615916955,26.71411765,3.129342561,1.759764706,1.035155709,99.55882353,50.20069204,0.088235294,0.705882353,0,0,-0.32038,-0.103415,2.045,0.93,0,0,0,0,0,0,15,500,25,0,0.0001
-0.166465,21.77777778,61,11.16049383,68.11111111,94,34.51851852,28.86969041,475.26,451.2755556,12,3.333333333,0.592592593,124.3333333,2.457777778,0.936296296,1.777777778,0.345679012,3.333333333,2.222222222,0.222222222,0.395061728,6.888888889,2.617283951,0.222222222,0.345679012,0.666666667,0.888888889,1.580246914,0,0,25.29685185,1.75399177,1.662,1.108,115.1111111,68.14814815,0.222222222,0.666666667,0,0,-0.32038,-0.103415,2.045,0.93,0,0,0,0,0,0,15,500,25,0,0.024
-0.162391,18.22222222,29,4.839506173,68,94,34.66666667,11.63196201,433.26,376.6088889,12,3.222222222,0.395061728,124.3333333,2.461111111,0.931851852,1.777777778,0.345679012,3.333333333,2.222222222,0.222222222,0.395061728,5.333333333,2.222222222,0.222222222,0.345679012,0.666666667,0.888888889,1.580246914,0,0,25.40740741,1.704855967,1.662,1.108,115.1111111,68.14814815,0.222222222,0.666666667,0.111111111,0,-0.32038,-0.103415,2.045,0.93,0,0,0,0,0,0,15,500,25,0,0.02
-0.162391,18.22222222,29,4.839506173,68,94,34.66666667,11.63196201,433.26,376.6088889,12,3.222222222,0.395061728,124.3333333,2.461111111,0.931851852,1.777777778,0.345679012,3.333333333,2.222222222,0.222222222,0.395061728,5.333333333,2.222222222,0.222222222,0.345679012,0.666666667,0.888888889,1.580246914,0,0,25.40740741,1.704855967,1.662,1.108,115.1111111,68.14814815,0.222222222,0.666666667,0.111111111,0,-0.32038,-0.103415,2.045,0.93,0,0,0,0,0,0,36,800,25,1,0.0119
-0.182464,23.25,62,12.4375,76.75,94,25.875,32.21648096,586.30875,675.9228125,13.5,3.375,0.65625,118.5,2.67375,0.729375,1.875,0.21875,3.75,1.875,0.375,0.65625,7.75,2.8125,0.125,0.21875,0.75,0.875,1.53125,0,0,24.29354167,1.543385417,1.86975,0.934875,105.25,61.875,0.125,0.75,0,0.125,-0.32038,-0.103415,2.045,0.93,0.2,0,0,0,0,0,36,800,25,1,0.509
